Rank,Name,Category,USDT Amount (USD),% of Total
1265,Arkis,Leveraged Farming,1050.86,0.0000%
1266,Cyber Dog,Yield,1040.51,0.0000%
1267,Kinetix AMM V3,Dexs,1031.30,0.0000%
1268,Orbit,Liquidity Automation,1026.89,0.0000%
1269,Tonnel Network,Privacy,1024.50,0.0000%
1270,Drachma,Dexs,1020.65,0.0000%
1271,Yaka V2,Dexs,1019.66,0.0000%
1272,Envelop,NftFi,1015.73,0.0000%
1273,TangleSwap,Dexs,1012.65,0.0000%
1274,Lendao,Lending,1004.84,0.0000%
1275,Avalon USDaLend,Lending,1003.48,0.0000%
1276,Garble.Money,Privacy,1002.85,0.0000%
1277,Leech Protocol,Yield Aggregator,1001.19,0.0000%
1278,Charm Finance V2,Liquidity Manager,999.84,0.0000%
1279,Huckleberry Lending,Lending,999.25,0.0000%
1280,Wombex Finance,Yield,998.98,0.0000%
1281,OrbitalSwap,Dexs,996.17,0.0000%
1282,Jet Margin,Lending,991.61,0.0000%
1283,Interlay Dex,Dexs,985.02,0.0000%
1284,HeLa Bridge,Bridge,979.35,0.0000%
1285,ManXSwap,Dexs,976.64,0.0000%
1286,Voltage V3,Dexs,961.13,0.0000%
1287,Saros AMM,Dexs,956.60,0.0000%
1288,PinkSwap,Dexs,949.52,0.0000%
1289,Goblins AMM,Dexs,943.10,0.0000%
1290,TezFin,Lending,939.64,0.0000%
1291,Mozaic,Yield,936.33,0.0000%
1292,ZKBase,Dexs,928.82,0.0000%
1293,Rhombus Protocol,Lending,914.26,0.0000%
1294,Swapline V1,Dexs,913.63,0.0000%
1295,Swapsicle V2,Dexs,911.64,0.0000%
1296,UNO farm,Yield Aggregator,902.75,0.0000%
1297,Crystl Finance,Yield,900.08,0.0000%
1298,Calculus,AI Agents,895.99,0.0000%
1299,Obsidian,DEX Aggregator,889.68,0.0000%
1300,Scribe V4,Dexs,881.69,0.0000%
1301,Echo Lending,Lending,875.57,0.0000%
1302,EvmoSwap,Dexs,849.56,0.0000%
1303,Pandora,Dexs,846.40,0.0000%
1304,Enosys AMM V3,Dexs,843.52,0.0000%
1305,Cykura,Dexs,842.20,0.0000%
1306,Corex Markets,Derivatives,833.72,0.0000%
1307,DefiTuna Liquidity,Liquidity Manager,833.33,0.0000%
1308,Archon Bridge,Bridge,831.09,0.0000%
1309,HyperWave,Yield,825.31,0.0000%
1310,Fibonacci Dex,Dexs,816.15,0.0000%
1311,Sculptor Finance,Lending,806.19,0.0000%
1312,DolphinSwap,Dexs,803.09,0.0000%
1313,Symblox,Synthetics,800.55,0.0000%
1314,Enjoyoors,CDP,790.94,0.0000%
1315,firefly,Dexs,788.76,0.0000%
1316,Astar Exchange V2,Dexs,784.65,0.0000%
1317,Salem Finance,Yield,770.34,0.0000%
1318,Bumpin Trade,Derivatives,767.99,0.0000%
1319,Standard Protocol Shiden,Dexs,761.25,0.0000%
1320,Bella Protocol,Yield,760.37,0.0000%
1321,Swift Finance,Yield,752.79,0.0000%
1322,MethLab,Lending,750.84,0.0000%
1323,Zircuit Staking,Farm,745.53,0.0000%
1324,Swipe,Dexs,742.30,0.0000%
1325,Fufuture V2,Options,742.08,0.0000%
1326,Canto Dex,Dexs,739.98,0.0000%
1327,CREAM Lending,Lending,731.11,0.0000%
1328,MYSO V2,Lending,730.80,0.0000%
1329,Satori Perp,Derivatives,730.62,0.0000%
1330,Channels Finance,Lending,729.56,0.0000%
1331,DDDX,Dexs,728.56,0.0000%
1332,ChickenSwap,Dexs,728.39,0.0000%
1333,PoWSwap,Dexs,726.23,0.0000%
1334,AquaLoan,Lending,725.47,0.0000%
1335,VII Finance,Leveraged Farming,712.56,0.0000%
1336,Gudchain,Farm,709.10,0.0000%
1337,Bitbond Sales,Launchpad,702.91,0.0000%
1338,KACO Finance,Dexs,697.31,0.0000%
1339,Stableswap DEX,Dexs,694.26,0.0000%
1340,CafeSwap,Dexs,691.45,0.0000%
1341,Sphynx,Dexs,688.37,0.0000%
1342,Singular Farm,Yield,672.75,0.0000%
1343,veSync,Dexs,668.58,0.0000%
1344,Aurelius,CDP,667.78,0.0000%
1345,VivaLeva Protocol,Leveraged Farming,664.52,0.0000%
1346,Spectrum Protocol,Yield,663.51,0.0000%
1347,Secta Finance V3,Dexs,661.76,0.0000%
1348,Zebra V1,Dexs,658.50,0.0000%
1349,Arctic,Dexs,649.62,0.0000%
1350,Kona V2,Dexs,644.46,0.0000%
1351,El Dorado Exchange,Derivatives,638.34,0.0000%
1352,COREx Network,Dexs,634.71,0.0000%
1353,Bucket Farm,Farm,632.60,0.0000%
1354,Teahouse Permissionless,Liquidity Manager,631.28,0.0000%
1355,Balmy,DCA Tools,630.36,0.0000%
1356,Level Perps,Derivatives,629.61,0.0000%
1357,Tulip Protocol,Yield,624.00,0.0000%
1358,Velar Perps,Derivatives,622.59,0.0000%
1359,JetSwap,Dexs,616.04,0.0000%
1360,Alchemix V2,Synthetics,614.21,0.0000%
1361,Nuri CL,Dexs,613.30,0.0000%
1362,Cleopatra CL,Dexs,605.91,0.0000%
1363,Defx,Derivatives,603.19,0.0000%
1364,Sky Lending,CDP,589.61,0.0000%
1365,OpenBook,Dexs,587.53,0.0000%
1366,Fringe V2,Lending,586.15,0.0000%
1367,Everdex,Dexs,583.45,0.0000%
1368,Diffusion Finance,Dexs,582.72,0.0000%
1369,Neutral Trade,Onchain Capital Allocator,578.37,0.0000%
1370,Silo V2,Lending,570.29,0.0000%
1371,Rivera Money,Liquidity Manager,559.41,0.0000%
1372,SpookySwap V3,Dexs,559.11,0.0000%
1373,Hubra,Yield,547.49,0.0000%
1374,PredX Ai,Prediction Market,546.85,0.0000%
1375,Aelin,Charity Fundraising,545.49,0.0000%
1376,Moraswap V2,Dexs,543.82,0.0000%
1377,STON.fi,Dexs,541.04,0.0000%
1378,ArthSwap V3,Dexs,540.68,0.0000%
1379,Olive Cash,Yield,539.42,0.0000%
1380,VultureSwap,Dexs,538.00,0.0000%
1381,DyorSwap AMM,Dexs,532.96,0.0000%
1382,AnimeSwap,Dexs,530.93,0.0000%
1383,Ammos Finance,Dexs,529.83,0.0000%
1384,Lumen Money,Lending,517.58,0.0000%
1385,Glacier Exchange V2,Dexs,511.24,0.0000%
1386,TYMIO,Options,510.28,0.0000%
1387,IguanaDEX V3,Dexs,509.26,0.0000%
1388,Holdr,Dexs,505.14,0.0000%
1389,Robo-Vault,Yield,504.82,0.0000%
1390,Moraswap V3,Dexs,504.58,0.0000%
1391,NEOPIN Pool,Dexs,504.15,0.0000%
1392,GoPlus Locker V2,Token Locker,501.10,0.0000%
1393,CGO Finance,Yield Aggregator,492.81,0.0000%
1394,Perpstreet,Derivatives,488.98,0.0000%
1395,Ajira Pay Finance V2,Payments,485.87,0.0000%
1396,StationDEX V3,Dexs,483.50,0.0000%
1397,K-BIT,Derivatives,479.85,0.0000%
1398,JewelSwap Leveraged Farming,Leveraged Farming,477.11,0.0000%
1399,Snuggle,Liquidity Manager,472.10,0.0000%
1400,GroveX,CEX,463.41,0.0000%
1401,Elektrik,Dexs,461.75,0.0000%
1402,Latoken,CEX,450.42,0.0000%
1403,SpaceDex,Derivatives,448.90,0.0000%
1404,OpenDAO,Algo-Stables,447.95,0.0000%
1405,LemonSwap,Yield,442.10,0.0000%
1406,MantleSwap,Dexs,440.34,0.0000%
1407,Pit Finance,Yield Aggregator,438.05,0.0000%
1408,Cypher V2,Dexs,426.36,0.0000%
1409,Ooki,Lending,425.57,0.0000%
1410,SIR,Derivatives,424.01,0.0000%
1411,Circuit Protocol,Yield Aggregator,423.38,0.0000%
1412,Hats.V1,Bug Bounty,421.70,0.0000%
1413,Elyx Finance,Indexes,418.51,0.0000%
1414,Dradex,Dexs,417.23,0.0000%
1415,Auto Core,Yield Aggregator,413.88,0.0000%
1416,Axial,Dexs,413.24,0.0000%
1417,Galador,Dexs,411.87,0.0000%
1418,Vicuna Lending,Lending,410.73,0.0000%
1419,FusionX V2,Dexs,403.80,0.0000%
1420,Ethervista,Dexs,402.38,0.0000%
1421,GPLX,Derivatives,399.96,0.0000%
1422,Spoon Exchange,Dexs,398.39,0.0000%
1423,Nexion Lending,Lending,397.69,0.0000%
1424,LiquiX,Liquidity Manager,397.58,0.0000%
1425,Crafting Finance,Synthetics,396.47,0.0000%
1426,Bitparty,Farm,389.71,0.0000%
1427,AUX Exchange,Dexs,381.50,0.0000%
1428,ParaSpace Lending V1,Lending,378.96,0.0000%
1429,Pythagorean,Dexs,376.90,0.0000%
1430,Complus Network,Dexs,376.06,0.0000%
1431,Narwhal Finance,Derivatives,373.51,0.0000%
1432,NewDex,Dexs,370.74,0.0000%
1433,YieldCore,Yield,364.27,0.0000%
1434,AstridDAO,CDP,363.78,0.0000%
1435,Sonus Exchange AMM,Dexs,360.00,0.0000%
1436,Maia CL,Dexs,359.62,0.0000%
1437,Alvara,Yield Aggregator,359.57,0.0000%
1438,Adamant Finance,Yield,357.59,0.0000%
1439,Kapinus,Dexs,354.87,0.0000%
1440,Solunea,Dexs,354.84,0.0000%
1441,Dunes,Liquid Restaking,352.39,0.0000%
1442,KokomoSwap,Dexs,351.49,0.0000%
1443,PadSwap,Dexs,344.85,0.0000%
1444,TropicalSwap,Dexs,344.21,0.0000%
1445,MarshmallowDeFi,Yield,343.83,0.0000%
1446,JIBLEND,Lending,339.68,0.0000%
1447,LeonicornSwap,Dexs,334.43,0.0000%
1448,Agora,Lending,331.77,0.0000%
1449,SandySwap,Dexs,328.84,0.0000%
1450,Hercules V2,Dexs,327.55,0.0000%
1451,PanKUKU,Dexs,327.23,0.0000%
1452,Velocimeter V2,Dexs,324.49,0.0000%
1453,UniVoucher,Payments,323.05,0.0000%
1454,SoneFi AMM,Dexs,316.76,0.0000%
1455,Athena Finance,Yield,312.06,0.0000%
1456,FIN,Dexs,310.49,0.0000%
1457,zkSwap V3,Dexs,308.67,0.0000%
1458,BencuFi,Lending,304.31,0.0000%
1459,DackieSwap V3,Dexs,298.22,0.0000%
1460,Kinesis Labs,Dexs,297.66,0.0000%
1461,FluxBeam,Dexs,296.95,0.0000%
1462,U235,Lending,296.94,0.0000%
1463,Avault,Yield Aggregator,296.88,0.0000%
1464,Bitflow,Dexs,291.32,0.0000%
1465,LendLord,Lending,285.09,0.0000%
1466,Rooster Protocol V2,Dexs,283.78,0.0000%
1467,SakuraSwap AMM,Dexs,281.66,0.0000%
1468,SquadSwap V3,Dexs,279.08,0.0000%
1469,ShibaSwap V2,Dexs,276.34,0.0000%
1470,KlaySwap V3,Dexs,275.12,0.0000%
1471,Coinhain,Dexs,274.63,0.0000%
1472,Yoshi Exchange,Dexs,272.01,0.0000%
1473,Arcadia V1,Leveraged Farming,269.44,0.0000%
1474,Hako,Yield,268.96,0.0000%
1475,Beta Finance V2,Lending,268.27,0.0000%
1476,PartySwap,Dexs,267.63,0.0000%
1477,PrimeFi,Lending,266.89,0.0000%
1478,dAMM Finance,Uncollateralized Lending,266.84,0.0000%
1479,Panko Finance,Dexs,265.80,0.0000%
1480,Iotabee,Dexs,261.68,0.0000%
1481,REYIELD Finance,Liquidity Manager,261.55,0.0000%
1482,Symmetric,Dexs,258.53,0.0000%
1483,Outcome Finance,Synthetics,255.95,0.0000%
1484,Baguette,Dexs,255.82,0.0000%
1485,Connext,Bridge,252.35,0.0000%
1486,Bank of Chain,Yield Aggregator,244.75,0.0000%
1487,Sobal,Dexs,243.15,0.0000%
1488,Yumiswap,Dexs,242.25,0.0000%
1489,SwapMode V3,Dexs,240.92,0.0000%
1490,Sushi Aptos,Dexs,233.18,0.0000%
1491,Quadrat,Liquidity Manager,229.98,0.0000%
1492,Farm Hero,Gaming,229.73,0.0000%
1493,CairoFi,Dexs,225.04,0.0000%
1494,MetalSwap,Derivatives,223.42,0.0000%
1495,Unicly,Dexs,222.79,0.0000%
1496,IFSwap,Dexs,221.22,0.0000%
1497,zk-Swap,Dexs,219.78,0.0000%
1498,SoliSnek Finance,Dexs,217.66,0.0000%
1499,Archly V2,Dexs,216.91,0.0000%
1500,MantaDEX,Dexs,215.39,0.0000%
1501,Sega Swap,Dexs,214.77,0.0000%
1502,ApeBond Staking,Farm,214.13,0.0000%
1503,KibbleSwap,Dexs,212.07,0.0000%
1504,MARSWAP,Dexs,211.18,0.0000%
1505,PowerSwap,Dexs,209.79,0.0000%
1506,Frost Finance,Yield,208.46,0.0000%
1507,Xray Swap,Yield,204.60,0.0000%
1508,VaultCraft,Yield,203.05,0.0000%
1509,VeryLongSwap Farm,Farm,202.65,0.0000%
1510,Hunny Finance,Yield,199.85,0.0000%
1511,YokaiSwap,Dexs,199.00,0.0000%
1512,Secta Finance V2,Dexs,194.58,0.0000%
1513,AGS Finance,Dexs,193.64,0.0000%
1514,AnchorSwap,Dexs,192.62,0.0000%
1515,Deridex,Derivatives,187.53,0.0000%
1516,SparkDEX V3,Dexs,185.51,0.0000%
1517,A51 Finance V2,Liquidity Manager,184.08,0.0000%
1518,Metavisor,Liquidity Manager,181.26,0.0000%
1519,Mint Club V2,Launchpad,180.02,0.0000%
1520,HyperInDex,Dexs,178.46,0.0000%
1521,MonoX,Dexs,178.32,0.0000%
1522,Ton4You,Options,177.29,0.0000%
1523,Crust V1,Dexs,169.44,0.0000%
1524,Strater,Yield,169.42,0.0000%
1525,Starfish Finance,Dexs,169.06,0.0000%
1526,V12,Dexs,168.95,0.0000%
1527,SaitaSwap,Dexs,167.94,0.0000%
1528,Cronus Finance,Dexs,167.63,0.0000%
1529,CryptoSwap,Dexs,163.12,0.0000%
1530,Carrot Liquidity,Yield Aggregator,162.62,0.0000%
1531,Starksport,Dexs,162.40,0.0000%
1532,Jigsaw,CDP,162.29,0.0000%
1533,Grace,Lending,160.75,0.0000%
1534,CVI Finance,Synthetics,156.41,0.0000%
1535,ZenDEX,CDP,154.39,0.0000%
1536,Symphony Finance,Dexs,154.38,0.0000%
1537,Cronofi Finance,Yield,153.35,0.0000%
1538,SynStation,Prediction Market,152.71,0.0000%
1539,Bountive,Yield,152.51,0.0000%
1540,Genesis Finance,Dexs,151.95,0.0000%
1541,L2X.pro,Dexs,151.89,0.0000%
1542,BAO Swap,Dexs,151.83,0.0000%
1543,Takara Lend,Lending,151.16,0.0000%
1544,Spice,Dexs,149.53,0.0000%
1545,Wavelength DAO,Dexs,148.48,0.0000%
1546,HakuSwap,Dexs,147.76,0.0000%
1547,GullNetwork Service,Farm,146.07,0.0000%
1548,lendOS,Lending,144.69,0.0000%
1549,Velocore V2,Dexs,141.18,0.0000%
1550,Silent Protocol,Privacy,140.03,0.0000%
1551,Cropper AMM,Dexs,138.69,0.0000%
1552,HopSwap,Dexs,138.24,0.0000%
1553,SunFlower Finance,Dexs,138.18,0.0000%
1554,HiveSwap Pro,Liquidity Manager,136.86,0.0000%
1555,SpartaDex,Dexs,136.23,0.0000%
1556,Brotocol,Bridge Aggregator,135.77,0.0000%
1557,Sailor,Dexs,135.21,0.0000%
1558,Trustin Finance,Lending,134.77,0.0000%
1559,Rigoblock,Onchain Capital Allocator,133.29,0.0000%
1560,SwapFish,Dexs,131.35,0.0000%
1561,Sense,Yield,130.46,0.0000%
1562,LemonX,Derivatives,127.19,0.0000%
1563,Eris Protocol,Liquid Staking,126.79,0.0000%
1564,Bunicorn,Dexs,125.37,0.0000%
1565,MintSwap,Farm,123.79,0.0000%
1566,Kim Vaults,Yield,123.73,0.0000%
1567,Baryon Network,Dexs,122.72,0.0000%
1568,Loanshark Core,Lending,122.63,0.0000%
1569,Mercurity,Dexs,121.78,0.0000%
1570,OpenEX,Dexs,121.15,0.0000%
1571,SafeSwap,Dexs,120.84,0.0000%
1572,Monocerus,Dexs,120.83,0.0000%
1573,AirDAO Bridge,Bridge,119.31,0.0000%
1574,Satori Spots,Dexs,117.98,0.0000%
1575,Keller Finance V3,Dexs,116.47,0.0000%
1576,UniFi,Dexs,114.23,0.0000%
1577,BaseSwap V2,Dexs,113.42,0.0000%
1578,Litx,Dexs,112.64,0.0000%
1579,Kokonut Swap,Dexs,111.07,0.0000%
1580,Forge,Dexs,110.91,0.0000%
1581,BorB,Derivatives,110.71,0.0000%
1582,OortSwap,Dexs,110.03,0.0000%
1583,ClaySwap,Farm,109.83,0.0000%
1584,POISON FINANCE,Synthetics,107.98,0.0000%
1585,Sail.Money,Yield,105.01,0.0000%
1586,JaceSwap,Dexs,104.86,0.0000%
1587,BenSwap,Dexs,104.31,0.0000%
1588,Ancora Finance,Dexs,101.80,0.0000%
1589,Foodcourt,Dexs,101.61,0.0000%
1590,Zyberswap V3,Dexs,100.69,0.0000%
1591,Bodh Finance,Lending,100.10,0.0000%
1592,Eden Finance,Lending,100.01,0.0000%
1593,Legacy Canary Protocol,Yield Aggregator,98.82,0.0000%
1594,Nord Finance,Yield Aggregator,95.77,0.0000%
1595,One Dex,Dexs,92.06,0.0000%
1596,SMBSwap V2,Dexs,90.92,0.0000%
1597,Superfluid,Payments,90.22,0.0000%
1598,YYEX,Derivatives,89.86,0.0000%
1599,Solar Dex,Dexs,89.31,0.0000%
1600,Papyrus Swap,Dexs,88.32,0.0000%
1601,1Beam,Dexs,88.28,0.0000%
1602,EmpireDEX,Dexs,88.21,0.0000%
1603,CorgiSwap,Dexs,86.60,0.0000%
1604,Meridian Swap,Dexs,86.16,0.0000%
1605,Lixir Finance,Liquidity Manager,85.00,0.0000%
1606,Spin DOV,Options Vault,84.31,0.0000%
1607,WhaleSwap,Dexs,82.26,0.0000%
1608,Bagel Finance V2,Indexes,81.82,0.0000%
1609,KronosDAO,Reserve Currency,80.94,0.0000%
1610,Aptin Finance V1,Lending,80.90,0.0000%
1611,ClaimSwap V1,Dexs,79.64,0.0000%
1612,Rari Capital,Yield Aggregator,78.00,0.0000%
1613,Argo,CDP,76.96,0.0000%
1614,Archly V1,Dexs,74.08,0.0000%
1615,Zeus Finance,Yield,72.40,0.0000%
1616,LendeXe Finance,Lending,72.01,0.0000%
1617,XTrade,Dexs,71.33,0.0000%
1618,Beluga Protocol,Dexs,71.33,0.0000%
1619,Peridot,Lending,70.88,0.0000%
1620,The Grand Banks,Yield,70.64,0.0000%
1621,LFGSwap Core,Dexs,69.94,0.0000%
1622,TrustSwap,Token Locker,69.21,0.0000%
1623,SquadSwap V2,Dexs,68.90,0.0000%
1624,SparkDEX V2,Dexs,67.01,0.0000%
1625,Gondola Finance,Dexs,66.26,0.0000%
1626,Mondrian Swap,Dexs,65.62,0.0000%
1627,Orion Liquidity Nodes,Dexs,65.60,0.0000%
1628,Dorian,Lending,64.75,0.0000%
1629,Astar Exchange V3,Dexs,64.69,0.0000%
1630,Spartan,Dexs,63.99,0.0000%
1631,Zinax DAO,Farm,63.88,0.0000%
1632,YieldFields,Dexs,63.63,0.0000%
1633,The Seed Farm,Yield,63.45,0.0000%
1634,Auro Finance,CDP,61.61,0.0000%
1635,Kinetix AMM V2,Dexs,59.83,0.0000%
1636,Alterscope,Risk Curators,59.09,0.0000%
1637,BlueMove DEX,Dexs,58.83,0.0000%
1638,VMEX Finance,Lending,58.69,0.0000%
1639,KryptoDex,Dexs,58.66,0.0000%
1640,Viridian Exchange,Dexs,58.36,0.0000%
1641,Ebisus Bay,Dexs,57.37,0.0000%
1642,Emerald Swap,Yield,57.04,0.0000%
1643,SteakHut Liquidity,Liquidity Manager,56.97,0.0000%
1644,SpaceFi Evmos,Dexs,56.14,0.0000%
1645,casinocronos,Dexs,55.10,0.0000%
1646,Primex Finance,Derivatives,54.80,0.0000%
1647,LowcostSwap,Yield,54.21,0.0000%
1648,DegenPrime,Leveraged Farming,53.27,0.0000%
1649,MagicFox Swap,Dexs,53.12,0.0000%
1650,QuipuSwap V1,Dexs,52.86,0.0000%
1651,Iguana Stableswap,Dexs,52.19,0.0000%
1652,Biokript,Dexs,52.13,0.0000%
1653,Atlendis V2,RWA Lending,52.00,0.0000%
1654,FCON DEX,Dexs,51.85,0.0000%
1655,LoopFi,Yield Aggregator,51.13,0.0000%
1656,Lynx,Derivatives,50.72,0.0000%
1657,AGDEX,Derivatives,50.46,0.0000%
1658,Goledo,Lending,50.00,0.0000%
1659,Opium,Options,49.99,0.0000%
1660,MetaCrono,Yield Aggregator,49.96,0.0000%
1661,Poolz Network,Farm,49.92,0.0000%
1662,Stablz,Yield,49.59,0.0000%
1663,ChampagneSwap,Dexs,48.94,0.0000%
1664,QuantoSwap,Dexs,48.64,0.0000%
1665,KIM Exchange V1,Dexs,47.76,0.0000%
1666,Belief Market,Prediction Market,47.66,0.0000%
1667,Maduck Club,Farm,47.25,0.0000%
1668,Monolith,Yield Aggregator,47.18,0.0000%
1669,Dino.Exchange,Dexs,46.80,0.0000%
1670,Nile Legacy,Dexs,46.48,0.0000%
1671,Kayak V2,Dexs,46.21,0.0000%
1672,BrightSide,Dexs,44.66,0.0000%
1673,YLDR,Lending,41.13,0.0000%
1674,SupSwap V2,Dexs,40.92,0.0000%
1675,Abstract,Chain,40.83,0.0000%
1676,Venuswap,Dexs,40.51,0.0000%
1677,Securo Finance,Indexes,40.00,0.0000%
1678,Pangea Swap,Dexs,39.54,0.0000%
1679,opBANANA,Dexs,39.14,0.0000%
1680,Swapr V2,Dexs,38.78,0.0000%
1681,VaporDex V2,Dexs,38.70,0.0000%
1682,printyfinance,Dexs,38.34,0.0000%
1683,Metropolis DLMM Vaults,Liquidity Manager,37.85,0.0000%
1684,Z Protocol DEX,Dexs,37.75,0.0000%
1685,Apostro,Risk Curators,37.10,0.0000%
1686,Levana Perps,Derivatives,36.93,0.0000%
1687,Mobius Exchange,Dexs,36.91,0.0000%
1688,MoneyFi,Yield Aggregator,35.77,0.0000%
1689,Sanctuary,Dexs,35.48,0.0000%
1690,Binary Swap,Dexs,34.86,0.0000%
1691,RollX,Derivatives,34.68,0.0000%
1692,MSwap,Dexs,34.59,0.0000%
1693,Aura,Yield,34.56,0.0000%
1694,Alligator,Dexs,33.92,0.0000%
1695,MoveFlow,Payments,33.64,0.0000%
1696,Forteswap,Dexs,33.13,0.0000%
1697,BabyDoge Algebra,Dexs,33.09,0.0000%
1698,ZKcandy Bridge,Canonical Bridge,32.99,0.0000%
1699,BaptSwap V2.1,Dexs,32.95,0.0000%
1700,Cycle Finance,Yield Aggregator,32.70,0.0000%
1701,CashCow Protocol,Yield,31.72,0.0000%
1702,Chiliswap,Dexs,31.22,0.0000%
1703,Cetus DLMM,Dexs,31.15,0.0000%
1704,Tempest Finance,Liquidity Manager,30.77,0.0000%
1705,Kodo Exchange,Dexs,30.67,0.0000%
1706,Eternal Finance,Yield,30.36,0.0000%
1707,CLAMM,Dexs,30.12,0.0000%
1708,BorgSwap,Yield,30.01,0.0000%
1709,Chapool,Physical TCG,29.93,0.0000%
