Rank,Name,Category,USDT Amount (USD),% of Total
1710,CakeWSwap,Dexs,29.11,0.0000%
1711,ZipSwap,Dexs,28.62,0.0000%
1712,SWFT,Bridge,28.57,0.0000%
1713,Hedgey,Payments,28.32,0.0000%
1714,BounceBit Ethena,Yield,28.06,0.0000%
1715,AllInXSwap,Dexs,27.86,0.0000%
1716,Solana Farm,Dexs,27.82,0.0000%
1717,LineHub V3,Dexs,27.62,0.0000%
1718,9mm V2,Dexs,27.54,0.0000%
1719,Amaterasu Finance,Dexs,27.37,0.0000%
1720,3A DAO,CDP,26.88,0.0000%
1721,StationDEX V2,Dexs,26.60,0.0000%
1722,RelayChain,Bridge,26.12,0.0000%
1723,Macaron StableSwap,Dexs,25.97,0.0000%
1724,PRODUS,Dexs,25.71,0.0000%
1725,Arrakis V2,Liquidity Manager,25.50,0.0000%
1726,Omega,Leveraged Farming,25.35,0.0000%
1727,Keller Finance V2,Dexs,25.33,0.0000%
1728,Kawa Finance,Lending,25.10,0.0000%
1729,ShibShift,Dexs,24.83,0.0000%
1730,BitZap,Dexs,24.31,0.0000%
1731,RubyDex,Derivatives,24.14,0.0000%
1732,Xei Finance,Dexs,23.97,0.0000%
1733,iLend V1,Lending,23.58,0.0000%
1734,1Swap,Dexs,22.59,0.0000%
1735,Sablier Flow,Payments,22.53,0.0000%
1736,Standard Protocol Mode,Dexs,22.47,0.0000%
1737,Phenix DEX,Dexs,22.17,0.0000%
1738,Starbank,Dexs,21.80,0.0000%
1739,MapleDeFi,Yield,21.76,0.0000%
1740,A51 Finance V3,Liquidity Manager,21.63,0.0000%
1741,Revert Compoundor,Liquidity Automation,21.20,0.0000%
1742,Crust V2,Dexs,21.15,0.0000%
1743,AirPuff,Leveraged Farming,21.11,0.0000%
1744,Oni Exchange,Dexs,20.89,0.0000%
1745,Panda Chef,Farm,20.81,0.0000%
1746,ApeRocket,Yield,20.69,0.0000%
1747,Lovely Swap,Dexs,20.14,0.0000%
1748,PyreSwap,Dexs,19.92,0.0000%
1749,Dfyn Network,Dexs,19.74,0.0000%
1750,NewSpace Finance,Farm,19.59,0.0000%
1751,OakFarm,Yield,19.59,0.0000%
1752,Salty.IO,Dexs,19.51,0.0000%
1753,Metavault AMM V2,Dexs,18.95,0.0000%
1754,AImstrong,Lending,18.84,0.0000%
1755,Stable Swap V2,Dexs,18.68,0.0000%
1756,Stratum Exchange,Dexs,18.54,0.0000%
1757,Sharelock,Dexs,18.52,0.0000%
1758,Antex,Launchpad,18.47,0.0000%
1759,ChainPort,Bridge,18.00,0.0000%
1760,TsunamiX,Derivatives,17.70,0.0000%
1761,VanillaSwap V3,Dexs,17.49,0.0000%
1762,SuperSwap V3,Dexs,17.47,0.0000%
1763,AtoDEX,Dexs,16.83,0.0000%
1764,VaporDex V1,Dexs,16.80,0.0000%
1765,Mooncake Finance,Lending,16.73,0.0000%
1766,DeFiner,Lending,16.67,0.0000%
1767,dexVAULTS,Yield,16.56,0.0000%
1768,LazyOtter Finance,Yield Aggregator,16.03,0.0000%
1769,Kogefarm,Yield,15.98,0.0000%
1770,Tealswap V3,Dexs,15.86,0.0000%
1771,FilDA,Lending,15.59,0.0000%
1772,SmolSwap,Dexs,15.36,0.0000%
1773,CobraSwap,Dexs,14.92,0.0000%
1774,Gomble Games,Farm,14.65,0.0000%
1775,BaptSwap V1,Dexs,14.42,0.0000%
1776,VAX,Dexs,13.97,0.0000%
1777,Ginseng Swap,Dexs,13.84,0.0000%
1778,EazySwap,Dexs,13.74,0.0000%
1779,AvaViking,Yield,13.48,0.0000%
1780,Obric,Dexs,13.43,0.0000%
1781,Nuri Legacy,Dexs,12.98,0.0000%
1782,MegaETH Bridge,Canonical Bridge,12.94,0.0000%
1783,Revert V3 Staker,Liquidity Manager,12.91,0.0000%
1784,IncaSwap,Dexs,12.60,0.0000%
1785,TanukiX,Dexs,12.60,0.0000%
1786,Metropolis AMM,Dexs,12.54,0.0000%
1787,LuckyChip,Luck Games,12.53,0.0000%
1788,SecondSwap,OTC Marketplace,12.50,0.0000%
1789,FlatCoin DEX,Farm,12.50,0.0000%
1790,BeamSwap Stable AMM,Dexs,12.36,0.0000%
1791,OpenDelta Perpetual Bond,Basis Trading,12.30,0.0000%
1792,Extra Finance Leverage Farming,Leveraged Farming,12.01,0.0000%
1793,NEBY DEX,Dexs,11.82,0.0000%
1794,ENNI,CDP,11.75,0.0000%
1795,Omni Exchange V3,Dexs,11.71,0.0000%
1796,Iron Finance,CDP,11.67,0.0000%
1797,ModeSwap,Dexs,11.45,0.0000%
1798,MyTrade,Dexs,11.39,0.0000%
1799,CroSwap,Dexs,11.37,0.0000%
1800,Sentre,Dexs,11.36,0.0000%
1801,Chee Finance,Lending,11.26,0.0000%
1802,Clearstar,Risk Curators,11.19,0.0000%
1803,A-DEX,Dexs,11.04,0.0000%
1804,Solv Basis Trading,Basis Trading,11.00,0.0000%
1805,Coffer City,Services,10.97,0.0000%
1806,Royco V1,Yield,10.92,0.0000%
1807,Double Club,Yield Aggregator,10.88,0.0000%
1808,Ketchup Finance,Yield,10.87,0.0000%
1809,Corn Kernels,Farm,10.86,0.0000%
1810,Sonus Exchange CLMM,Dexs,10.72,0.0000%
1811,ABcDeFX,Dexs,10.35,0.0000%
1812,SparkDEX V4,Dexs,10.31,0.0000%
1813,LuxsFi,Yield Aggregator,10.28,0.0000%
1814,Nucleus,Yield Aggregator,10.21,0.0000%
1815,DogeClaw,Gaming,10.00,0.0000%
1816,HOPE Lend,Lending,10.00,0.0000%
1817,Robinhood,CEX,10.00,0.0000%
1818,Levva,Liquidity Manager,10.00,0.0000%
1819,Blur Lending,NFT Lending,10.00,0.0000%
1820,DeGate,Dexs,9.99,0.0000%
1821,Pulsar Swap,Dexs,9.95,0.0000%
1822,Domani Protocol,Indexes,9.94,0.0000%
1823,SpiritSwap V3,Dexs,9.93,0.0000%
1824,Notional V3,Lending,9.79,0.0000%
1825,SMBSwap V3,Dexs,9.73,0.0000%
1826,Althea DEX,Dexs,9.66,0.0000%
1827,Yaka V3,Dexs,9.63,0.0000%
1828,MixSwap Finance,Farm,9.58,0.0000%
1829,Vicuna Leveraged Farming,Leveraged Farming,9.56,0.0000%
1830,Capybara AMM,Dexs,9.45,0.0000%
1831,EchoDEX V2,Dexs,9.09,0.0000%
1832,Bunni v1,Liquidity Manager,9.08,0.0000%
1833,TroyDefi,Farm,8.38,0.0000%
1834,ViperSwap,Dexs,8.16,0.0000%
1835,SHPRD,Indexes,8.14,0.0000%
1836,S Finance,Dexs,7.88,0.0000%
1837,MagicFox Vaults,Yield,7.76,0.0000%
1838,Spectra V2,Yield,7.46,0.0000%
1839,Spectrumswap,Farm,7.28,0.0000%
1840,Stronghands,Dexs,7.26,0.0000%
1841,PacificSwap V2,Dexs,7.14,0.0000%
1842,ChirpFinance,Farm,7.12,0.0000%
1843,Yaakoswap,Dexs,7.08,0.0000%
1844,Kriya AMM,Dexs,7.08,0.0000%
1845,Bao Masterchef V1,Farm,7.06,0.0000%
1846,RubikFarm,Farm,7.04,0.0000%
1847,Crema Finance,Dexs,7.04,0.0000%
1848,Coup Farm,Yield,6.88,0.0000%
1849,Navigator,Derivatives,6.18,0.0000%
1850,Algodex,Dexs,6.18,0.0000%
1851,GammaSwap Open Interest,Options,6.17,0.0000%
1852,Magma Finance ALMM,Dexs,6.16,0.0000%
1853,Neutrino,Indexes,6.11,0.0000%
1854,dTRINITY dUSD,Partially Algorithmic Stablecoin,6.00,0.0000%
1855,Rage Trade v1,Yield,5.97,0.0000%
1856,Unknown,Yield,5.75,0.0000%
1857,Templar Protocol,Lending,5.63,0.0000%
1858,unagiswap,Dexs,5.60,0.0000%
1859,Lendle Pooled Markets,Lending,5.54,0.0000%
1860,Vingt.io,Indexes,5.37,0.0000%
1861,Virtus Protocol AMM,Dexs,5.25,0.0000%
1862,Interest Protocol Stable Swap,Dexs,5.00,0.0000%
1863,SMARDEX P2P Lending,Lending,5.00,0.0000%
1864,Cub Finance,Farm,4.97,0.0000%
1865,MuggleLink,Services,4.74,0.0000%
1866,AbstraDEX,Dexs,4.70,0.0000%
1867,ETHA Lend,Yield,4.68,0.0000%
1868,ZenoLend,Lending,4.65,0.0000%
1869,Zoro Protocol,Lending,4.49,0.0000%
1870,mStable V2,CDP,4.48,0.0000%
1871,PattieSwap,Dexs,4.45,0.0000%
1872,CuanSwap,Dexs,4.43,0.0000%
1873,BIM Yield,Yield Aggregator,4.42,0.0000%
1874,Defi Kingdoms,Dexs,4.23,0.0000%
1875,OctoPow Finance,Dexs,4.11,0.0000%
1876,PowerFlow,Bridge,4.00,0.0000%
1877,SweetSwap,Dexs,3.70,0.0000%
1878,Beets DEX V3,Dexs,3.65,0.0000%
1879,Koyo Finance,Dexs,3.62,0.0000%
1880,LootSwap,Dexs,3.60,0.0000%
1881,V3S Finance,Algo-Stables,3.53,0.0000%
1882,IguanaDEX V2,Dexs,3.43,0.0000%
1883,Rooster Protocol V1,Dexs,3.40,0.0000%
1884,RadioShack,Dexs,3.36,0.0000%
1885,DackieSwap V2,Dexs,3.20,0.0000%
1886,Graphene by Velocimeter,Dexs,3.19,0.0000%
1887,Coffee Dex,Dexs,3.18,0.0000%
1888,Atlantis,Dexs,3.14,0.0000%
1889,Pharaoh Legacy,Dexs,3.12,0.0000%
1890,Pandora Swap,Dexs,3.11,0.0000%
1891,DegenHive AMM,Dexs,3.06,0.0000%
1892,Revest Finance,NFT Lending,3.00,0.0000%
1893,MANTRA DAO,Lending,3.00,0.0000%
1894,Nexapia,Dexs,2.99,0.0000%
1895,Capybara CLMM,Dexs,2.96,0.0000%
1896,EveryFinance,Indexes,2.95,0.0000%
1897,Haiko,Dexs,2.92,0.0000%
1898,Realperp,Derivatives,2.88,0.0000%
1899,Ajira Pay Finance V1,Payments,2.83,0.0000%
1900,AstroFi,Dexs,2.80,0.0000%
1901,Busta Exchange,Dexs,2.63,0.0000%
1902,DexFinance ETF,Yield,2.62,0.0000%
1903,FVM Exchange,Dexs,2.62,0.0000%
1904,QuokkaLend,Lending,2.59,0.0000%
1905,Akronswap,Dexs,2.53,0.0000%
1906,Zenland,Services,2.50,0.0000%
1907,Kimberlite,Yield,2.50,0.0000%
1908,NowSwap,Dexs,2.46,0.0000%
1909,Fuji V2,Lending,2.44,0.0000%
1910,TydeShift,Dexs,2.44,0.0000%
1911,1INTRO,Dexs,2.40,0.0000%
1912,Sushi Furo,Payments,2.35,0.0000%
1913,Reax Swaps,Dexs,2.28,0.0000%
1914,The Dragon's Lair,Yield,2.13,0.0000%
1915,Credit Coop,RWA Lending,2.11,0.0000%
1916,JioSwap,Dexs,2.00,0.0000%
1917,bitSmiley,CDP,2.00,0.0000%
1918,LogX V1,Derivatives,1.97,0.0000%
1919,Meowswap,Yield,1.93,0.0000%
1920,LogX V2,Derivatives,1.93,0.0000%
1921,Revault,Yield,1.92,0.0000%
1922,Omni Exchange Flux,Dexs,1.91,0.0000%
1923,Interest Protocol-SUI,Dexs,1.88,0.0000%
1924,ZKFairSwap,Dexs,1.85,0.0000%
1925,Grim Finance,Yield,1.84,0.0000%
1926,Mori Protocol,Dexs,1.82,0.0000%
1927,ArbiSwap,Dexs,1.82,0.0000%
1928,Liquify,Dexs,1.82,0.0000%
1929,Swapsicle V1,Dexs,1.81,0.0000%
1930,GooseFX V2,Dexs,1.75,0.0000%
1931,MantaSwap,Dexs,1.70,0.0000%
1932,swap.coffee,DEX Aggregator,1.63,0.0000%
1933,Esper Finance,Dexs,1.62,0.0000%
1934,Tokeniza,RWA,1.57,0.0000%
1935,Axion Finance V3,Dexs,1.48,0.0000%
1936,OkieSwap V2,Dexs,1.47,0.0000%
1937,Overnight Finance,CDP,1.46,0.0000%
1938,Stability,Liquidity Manager,1.41,0.0000%
1939,KyotoSwap,Dexs,1.40,0.0000%
1940,Onchain Trade,Derivatives,1.37,0.0000%
1941,Tea-Fi,Yield,1.33,0.0000%
1942,Catton,CDP,1.30,0.0000%
1943,Lendle Isolated Markets,Lending,1.28,0.0000%
1944,TendieSwap,Dexs,1.26,0.0000%
1945,Shadow Exchange Legacy,Dexs,1.25,0.0000%
1946,stabble CLMM,Dexs,1.24,0.0000%
1947,Mango Markets V4 Perps,Derivatives,1.21,0.0000%
1948,OmniBTC,Lending,1.20,0.0000%
1949,KnightSwap Lending,Lending,1.14,0.0000%
1950,Morphex V2,Derivatives,1.12,0.0000%
1951,UniWswap AMM,Dexs,1.09,0.0000%
1952,Somnex V3,Dexs,1.09,0.0000%
1953,CrossChain Bridge,Cross Chain Bridge,1.08,0.0000%
1954,SettleX V2,Dexs,1.07,0.0000%
1955,Rebalance Finance,Lending,1.07,0.0000%
1956,BaptSwap V2,Dexs,1.06,0.0000%
1957,Fufuture Contract,Derivatives,1.06,0.0000%
1958,Ploutos Money,Lending,1.02,0.0000%
1959,Nexion DEX,Dexs,1.02,0.0000%
1960,Zena Finance,Dexs,1.00,0.0000%
1961,SSAP,Lending,1.00,0.0000%
1962,Incognito,Dexs,1.00,0.0000%
1963,Poolside,Dexs,1.00,0.0000%
1964,Drops,NFT Lending,1.00,0.0000%
1965,Midas Capital,Lending,1.00,0.0000%
1966,Moth Finance,Algo-Stables,1.00,0.0000%
1967,GoatSwap V2,Dexs,0.98,0.0000%
1968,Equalizer Exchange,Dexs,0.98,0.0000%
1969,Rikkei Finance,Lending,0.98,0.0000%
1970,Levinswap,Dexs,0.95,0.0000%
1971,OrderNChaos,Algo-Stables,0.94,0.0000%
1972,XDeFi,Dexs,0.88,0.0000%
1973,Thorn Protocol,Dexs,0.86,0.0000%
1974,Lucky Peaches,Lending,0.86,0.0000%
1975,Avaware,Yield,0.84,0.0000%
1976,Lume Finance,Farm,0.83,0.0000%
1977,Papa DAO,Reserve Currency,0.76,0.0000%
1978,ELYFI,RWA,0.73,0.0000%
1979,Amped Finance,Derivatives,0.73,0.0000%
1980,HaloTrade EVM,Dexs,0.70,0.0000%
1981,Aquas Trade,Dexs,0.70,0.0000%
1982,ReHold V2,Yield,0.69,0.0000%
1983,LineHub V2,Dexs,0.69,0.0000%
1984,Lif3 Swap,Dexs,0.67,0.0000%
1985,SpookySwap V2,Dexs,0.63,0.0000%
1986,KingDefi,Yield,0.63,0.0000%
1987,Capy Finance,Farm,0.61,0.0000%
1988,PowSea,Dexs,0.52,0.0000%
1989,Strike,Lending,0.50,0.0000%
1990,Tempest Capital,Lending,0.50,0.0000%
1991,Hakura Protocol,Lending,0.50,0.0000%
1992,Reservoir Protocol,CDP,0.49,0.0000%
1993,StakePoint,Farm,0.49,0.0000%
1994,Chimeradex Swap,Dexs,0.49,0.0000%
1995,Velocore V1,Dexs,0.47,0.0000%
1996,BounceBit Swap V2,Dexs,0.47,0.0000%
1997,Nexion Vaults,Yield,0.47,0.0000%
1998,Kayak V3,Dexs,0.46,0.0000%
1999,bitCow,Dexs,0.46,0.0000%
2000,Mjolnir Exchange,Derivatives,0.42,0.0000%
2001,Frax Swap,Dexs,0.41,0.0000%
2002,P2PFlip,Luck Games,0.39,0.0000%
2003,Y2R,Yield Aggregator,0.39,0.0000%
2004,Cropper CLMM,Dexs,0.35,0.0000%
2005,BounceBit Swap V3,Dexs,0.35,0.0000%
2006,SimpleDEX,Dexs,0.34,0.0000%
2007,SonicSwap,Dexs,0.32,0.0000%
2008,CoFiX,Dexs,0.32,0.0000%
2009,Pidao Finance,Reserve Currency,0.29,0.0000%
2010,PizzaX,Ponzi,0.29,0.0000%
2011,VoltageSwap,Dexs,0.28,0.0000%
2012,EcoDeFi,Lending,0.26,0.0000%
2013,Asgard Dao,Reserve Currency,0.23,0.0000%
2014,Injera,CDP,0.23,0.0000%
2015,DAOLama,Lending,0.23,0.0000%
2016,v2swap,Dexs,0.22,0.0000%
2017,Hakka Finance,Derivatives,0.22,0.0000%
2018,Omni Exchange V2,Dexs,0.22,0.0000%
2019,DuckyDeFi,Dexs,0.20,0.0000%
2020,Unilend Protocol,Lending,0.20,0.0000%
2021,OpenXswap,Dexs,0.20,0.0000%
2022,KEWL EXCHANGE,Dexs,0.20,0.0000%
2023,BlueSpade,Derivatives,0.17,0.0000%
2024,Bow,Yield,0.16,0.0000%
2025,RCPswap,Dexs,0.16,0.0000%
2026,TakoTako,Lending,0.14,0.0000%
2027,StackFi,Lending,0.13,0.0000%
2028,Dot Dot Finance,Yield,0.13,0.0000%
2029,Alien Base V3,Dexs,0.13,0.0000%
2030,dVOL,Options Vault,0.12,0.0000%
2031,Earnifty,Yield Aggregator,0.12,0.0000%
2032,AstroSwap,Dexs,0.12,0.0000%
2033,Rollup Finance Stake,Derivatives,0.10,0.0000%
2034,Procyon,Farm,0.10,0.0000%
2035,CantoSwap,Dexs,0.10,0.0000%
2036,Camelot V2,Dexs,0.09,0.0000%
2037,EVO,Dexs,0.09,0.0000%
2038,Tivel Finance,Options Vault,0.09,0.0000%
2039,BounceBit pre-launch Farm,Farm,0.09,0.0000%
2040,GrokSwap,Dexs,0.09,0.0000%
2041,StableSwap,Dexs,0.08,0.0000%
2042,FomoSwap V4,Dexs,0.08,0.0000%
2043,ApplePie,Farm,0.07,0.0000%
2044,TonsOfFriends,SoFi,0.07,0.0000%
2045,Swapline V2,Dexs,0.06,0.0000%
2046,DeltaTrade,Dexs,0.06,0.0000%
2047,RAIDSHIFT Marketplace,Dexs,0.06,0.0000%
2048,reddex,Dexs,0.06,0.0000%
2049,Bitty,NFT Lending,0.05,0.0000%
2050,Kyborg Exchange,Dexs,0.05,0.0000%
2051,Obyte Friends,SoFi,0.05,0.0000%
2052,SpiritSwap AMM,Dexs,0.05,0.0000%
2053,C14,Lending,0.04,0.0000%
2054,Annex,Lending,0.04,0.0000%
2055,Cthulhu.Finance,Yield Aggregator,0.04,0.0000%
2056,Bitlen Finance,Lending,0.04,0.0000%
2057,MultichainZ,Lending,0.04,0.0000%
2058,BendDAO Lending,NFT Lending,0.03,0.0000%
2059,Asteria Finance,Dexs,0.03,0.0000%
2060,FXDX,Derivatives,0.03,0.0000%
2061,TiFi,Dexs,0.03,0.0000%
2062,MoonLift,Dexs,0.03,0.0000%
2063,Cleopatra Legacy,Dexs,0.03,0.0000%
2064,Holdstation Swap,Dexs,0.02,0.0000%
2065,Soy Finance,Dexs,0.02,0.0000%
2066,PassDEX,Dexs,0.02,0.0000%
2067,Ronin Bridge,Canonical Bridge,0.02,0.0000%
2068,Magik Farm,Yield Aggregator,0.02,0.0000%
2069,GooseFX V1,Dexs,0.02,0.0000%
2070,Kurrency,CDP,0.01,0.0000%
2071,Mare Finance V2,Lending,0.01,0.0000%
2072,Kalata,Synthetics,0.01,0.0000%
2073,Zircon Gamma,Dexs,0.01,0.0000%
2074,Impermax V3,Lending,0.01,0.0000%
2075,Antimatter,Options,0.01,0.0000%
2076,0xLend,Lending,0.01,0.0000%
2077,Alien Base V2,Dexs,0.01,0.0000%
2078,Scale,Dexs,0.01,0.0000%
2079,DeltaTheta,Options,0.01,0.0000%
2080,Standard Spot CLOB,Dexs,0.01,0.0000%
2081,NODO,Prediction Market,0.01,0.0000%
2082,Ajna V1,Lending,0.01,0.0000%
2083,Agus,Dexs,0.01,0.0000%
2084,Usury Finance,Lending,0.01,0.0000%
2085,Parrot Protocol,CDP,0.01,0.0000%
2086,Demodyfi,Dexs,0.01,0.0000%
2087,Klap,Lending,0.01,0.0000%
2088,Pharaoh V3 Legacy,Dexs,0.01,0.0000%
2089,Reax Lending,Lending,0.01,0.0000%
2090,Euler V1,Lending,0.01,0.0000%
2091,iLend V2,Lending,0.01,0.0000%
2092,MorpheusAI,AI Agents,0.00,0.0000%
2093,BeGlobal Finance,Dexs,0.00,0.0000%
2094,SeaLightSwap,Dexs,0.00,0.0000%
2095,Nusa,Lending,0.00,0.0000%
2096,Hundred Finance,Lending,0.00,0.0000%
2097,Colors,Farm,0.00,0.0000%
2098,TachySwap,Dexs,0.00,0.0000%
2099,Tarina,Dexs,0.00,0.0000%
2100,OracleFreeDollar,CDP,0.00,0.0000%
2101,BetterLend,Lending,0.00,0.0000%
2102,Lendle Yield,Yield,0.00,0.0000%
2103,Treble Spot,Dexs,0.00,0.0000%
2104,Donkeswap,Dexs,0.00,0.0000%
2105,Index Coop,Indexes,0.00,0.0000%
2106,Typus DOV,Options Vault,0.00,0.0000%
2107,Morpho Optimizer AaveV3,Lending,0.00,0.0000%
2108,Tranquil Finance,Lending,0.00,0.0000%
2109,SoliDex Finance V2,Dexs,0.00,0.0000%
2110,BoomSwap,Dexs,0.00,0.0000%
2111,Axion Finance V2,Dexs,0.00,0.0000%
2112,Snowflake Exchange,Dexs,0.00,0.0000%
2113,Energyfi,Dexs,0.00,0.0000%
2114,iZiSwap Classic,Dexs,0.00,0.0000%
2115,Bagel Finance V1,Dexs,0.00,0.0000%
2116,WinerySwap,Dexs,0.00,0.0000%
2117,CashCow Finance,Lending,0.00,0.0000%
2118,Beralis V3,Dexs,0.00,0.0000%
2119,Arbswap AMM,Dexs,0.00,0.0000%
2120,Weero V2,Dexs,0.00,0.0000%
2121,LND,Lending,0.00,0.0000%
2122,Wonton,Launchpad,0.00,0.0000%
2123,Orion Money,Yield,0.00,0.0000%
2124,PWN,Lending,0.00,0.0000%
2125,NBX,CEX,0.00,0.0000%
2126,PixelSwap,Dexs,0.00,0.0000%
2127,OreSwap,Dexs,0.00,0.0000%
2128,Bake.io,CEX,0.00,0.0000%
2129,RIZE,Yield Aggregator,0.00,0.0000%
2130,XSwap V2,Dexs,0.00,0.0000%
2131,PiperX V3,Dexs,0.00,0.0000%
2132,Atlas Exchange,Dexs,0.00,0.0000%
2133,KLend,Lending,0.00,0.0000%
2134,OBSwap,Dexs,0.00,0.0000%
2135,Fyde Protocol,Yield Aggregator,0.00,0.0000%
2136,Jasper Vault,Options,0.00,0.0000%
2137,Nirvana V1,CDP,0.00,0.0000%
2138,DONASWAP V2,Dexs,0.00,0.0000%
2139,D8X,Derivatives,0.00,0.0000%
2140,SettleX V3,Dexs,0.00,0.0000%
2141,PandaSwap,Dexs,0.00,0.0000%
2142,DogeSwapOrg,Dexs,0.00,0.0000%
2143,BIMA CDP,CDP,0.00,0.0000%
2144,SingularityDAO,Yield,0.00,0.0000%
2145,Everclear,Cross Chain Bridge,0.00,0.0000%
2146,PepeDex,Gaming,0.00,0.0000%
2147,HipPoWSwap,Dexs,0.00,0.0000%
2148,Stout,CDP,0.00,0.0000%
2149,Hover,Lending,0.00,0.0000%
2150,2Pi Network,Yield,0.00,0.0000%
2151,Satsuma,Dexs,0.00,0.0000%
2152,StellaSwap V4,Dexs,0.00,0.0000%
2153,Merchant Finance,Lending,0.00,0.0000%
2154,zkFox,Leveraged Farming,0.00,0.0000%
2155,Yodeswap,Dexs,0.00,0.0000%
2156,Story Hunt,Dexs,0.00,0.0000%
2157,Onyx Protocol,Lending,0.00,0.0000%
2158,MateSwap,Dexs,0.00,0.0000%
2159,Arena DEX,Dexs,0.00,0.0000%
2160,SwapX V2,Dexs,0.00,0.0000%
2161,Antfarm finance,Liquidity Manager,0.00,0.0000%
2162,BeamSwap V3,Dexs,0.00,0.0000%
2163,Sonne Finance,Lending,0.00,0.0000%
2164,unFederalReserve,Lending,0.00,0.0000%
2165,Wise Lending V2,Lending,0.00,0.0000%
2166,Aquarius Loan,Lending,0.00,0.0000%
2167,ChadFinance,Dexs,0.00,0.0000%
2168,Rho Markets,Lending,0.00,0.0000%
2169,Demex Perp,Derivatives,0.00,0.0000%
2170,Welnance,Chain,0.00,0.0000%
2171,Fizzswap V2,Dexs,0.00,0.0000%
2172,Fizzswap V3,Dexs,0.00,0.0000%
2173,Fortress Loans,Lending,0.00,0.0000%
2174,Inferno Swap,Dexs,0.00,0.0000%
2175,Angle,CDP,0.00,0.0000%